Textbox9,Textbox12,Textbox14
03/11/2025,01/01/2024,12/31/2024

SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
11874,Fayette,Lexington,Cellar Bar & Grille,"TC CELLAR, LLC",3256 Landsdowne Drive Ste 50,"Lexington, KY 40502",034-NQ2-1717,NQ2 Retail Drink License,Active,05/13/2013,06/25/2013,11/30/2025
21710,Fayette,Lexington,Centro Drinks,LOLA HOSPITALITY LLC,113 Cheapside 1st Floor,"Lexington, KY 40507",034-NQ4-3287,NQ4 Retail Malt Beverage Drink License,Active,09/11/2015,09/11/2015,11/30/2025
4388,Fayette,Lexington,Charlie Brown's Restaurant,"Mouch, LLC",816 Euclid Ave,"Lexington, KY 40502",034-NQ4-195742,NQ4 Retail Malt Beverage Drink License,Active,03/17/2023,03/17/2023,11/30/2025
19061,Fayette,Lexington,Chase Tap Room/Chase Brewing Company,"NEW REPUBLIC, LLC",266 Jefferson St,"Lexington, KY 40508",034-NQ4-2568,NQ4 Retail Malt Beverage Drink License,Active,10/02/2013,10/02/2013,11/30/2025
5082,Fayette,Lexington,Cheddar’s Scratch Kitchen 2125,CHEDDAR'S FRANCHISE ACQUISITION LLC,3604 Walden Dr,"Lexington, KY 40517",034-NQ2-3203,NQ2 Retail Drink License,Active,02/07/2017,02/07/2017,08/31/2025
5679,Fayette,Lexington,Cheetah of Lexington,"Lexington Golf & Travel, LLC",1101 New Circle Rd Ne,"Lexington, KY 40505",034-NQ4-3210,NQ4 Retail Malt Beverage Drink License,Active,02/20/2015,02/20/2015,11/30/2025
5599,Fayette,Lexington,Chili's Grill & Bar,BRINKER RESTAURANT CORPORATION,2851 Richmond Rd,"Lexington, KY 40509",034-NQ2-4062,NQ2 Retail Drink License,Active,11/01/2019,11/01/2019,08/31/2025
5924,Fayette,Lexington,Chili's Grill & Bar,BRINKER RESTAURANT CORPORATION,108 Marketplace Dr,"Lexington, KY 40503",034-NQ2-4063,NQ2 Retail Drink License,Active,11/01/2019,11/01/2019,08/31/2025
7507,Fayette,Lexington,Chinoe Pub & Restaurant,CHINOE PUB & RESTAURANT,1070 Chinoe Rd/Chinoe Village,"Lexington, KY 40502",034-NQ4-1093,NQ4 Retail Malt Beverage Drink License,Active,05/13/2013,06/25/2013,11/30/2025
3843,Fayette,Lexington,Chipotle,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",2270 Nicholasville Rd,"Lexington, KY 40503",034-NQ4-196684,NQ4 Retail Malt Beverage Drink License,Active,05/04/2023,05/04/2023,08/31/2025
